Date : 2024-07-07 13:43:39
Directory : c:\Users\mawen\Dev\GitHub\Study
Total : 468 files,  108703 codes, 1789 comments, 38510 blanks, all 149002 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 原理：ES原理知识点补充和整体结构.md                       | Markdown         |        109 |          0 |         66 |        175 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 原理：从图解构筑对ES原理的初步认知.md                      | Markdown         |        182 |          0 |        155 |        337 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 安装：ElasticSearch和Kibana安装.md               | Markdown         |        204 |          0 |         63 |        267 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 索引：索引模板(Index Template)详解.md               | Markdown         |        229 |          0 |         54 |        283 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 索引：索引管理详解.md                               | Markdown         |        167 |          0 |         74 |        241 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 认知：Elastic Stack生态和场景方案.md                 | Markdown         |         96 |          0 |         77 |        173 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\♥ElasticSearch知识体系详解♥\ES详解 - 认知：ElasticSearch基础概念.md                    | Markdown         |         70 |          0 |         49 |        119 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\各种查询的golang实现\es实现mysql or查询.md                                         | Markdown         |         12 |          0 |          6 |         18 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\各种查询的golang实现\es实现mysql where in 查询.md                                  | Markdown         |         28 |          0 |          7 |         35 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\各种查询的golang实现\es根据app.Id分组，统计每组的OwnerBid数量，过滤空值并去重.md                   | Markdown         |        170 |          0 |         15 |        185 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\各种查询的golang实现\es根据appId分组，对某一字段求和es根据appId分组，对某一字段求和.md                 | Markdown         |        157 |          0 |         17 |        174 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\各种查询的golang实现\根据 series_Id 字段分组，对dna中id字段count总数，dna_price字段sum求和.md    | Markdown         |        254 |          0 |         37 |        291 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\study\各种查询的golang实现\根据app.Id分组，统计每组dna数量.md                                   | Markdown         |        160 |          0 |         18 |        178 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\场景\哈啰：记录一次ElasticSearch的查询性能优化.md                                             | Markdown         |        125 |          0 |         97 |        222 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\场景\腾讯Elasticsearch海量规模背后的内核优化剖析.md                                            | Markdown         |        126 |          0 |        119 |        245 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\场景\腾讯万亿级 Elasticsearch 技术解密.md                                                | Markdown         |         79 |          0 |         67 |        146 |
| c:\Users\mawen\Dev\GitHub\Study\elasticsearch\面经\ES_INTERVIEW_README.md                                                     | Markdown         |        295 |          0 |        303 |        598 |
| c:\Users\mawen\Dev\GitHub\Study\img\architecture_docker.svg                                                                 | XML              |      2,596 |          1 |          1 |      2,598 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\bigdecimal.md                                                                    | Markdown         |        291 |          0 |         74 |        365 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\generics-and-wildcards.md                                                        | Markdown         |         13 |          0 |          8 |         21 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\java-basic-questions-01.md                                                       | Markdown         |        767 |          0 |        315 |      1,082 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\java-basic-questions-02.md                                                       | Markdown         |        574 |          0 |        214 |        788 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\java-basic-questions-03.md                                                       | Markdown         |        387 |          0 |        189 |        576 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\java-keyword-summary.md                                                          | Markdown         |        227 |          0 |         83 |        310 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\proxy.md                                                                         | Markdown         |        292 |          0 |        113 |        405 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\reflection.md                                                                    | Markdown         |        133 |          0 |         55 |        188 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\serialization.md                                                                 | Markdown         |        155 |          0 |         71 |        226 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\spi.md                                                                           | Markdown         |        427 |          0 |        140 |        567 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\syntactic-sugar.md                                                               | Markdown         |        635 |          0 |        179 |        814 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\unsafe.md                                                                        | Markdown         |        553 |          0 |        180 |        733 |
| c:\Users\mawen\Dev\GitHub\Study\java\basis\why-there-only-value-passing-in-java.md                                          | Markdown         |        157 |          0 |         63 |        220 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\arrayblockingqueue-source-code.md                                           | Markdown         |        602 |          0 |        172 |        774 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\arraylist-source-code.md                                                    | Markdown         |        801 |          0 |        164 |        965 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\concurrent-hash-map-source-code.md                                          | Markdown         |        514 |          0 |         80 |        594 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\copyonwritearraylist-source-code.md                                         | Markdown         |        244 |          0 |         74 |        318 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\delayqueue-source-code.md                                                   | Markdown         |        278 |          0 |         82 |        360 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\hashmap-source-code.md                                                      | Markdown         |        502 |          0 |         76 |        578 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\java-collection-precautions-for-use.md                                      | Markdown         |        336 |          0 |        106 |        442 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\java-collection-questions-01.md                                             | Markdown         |        355 |          0 |        139 |        494 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\java-collection-questions-02.md                                             | Markdown         |        437 |          0 |        167 |        604 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\linkedhashmap-source-code.md                                                | Markdown         |        457 |          0 |        134 |        591 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\linkedlist-source-code.md                                                   | Markdown         |        422 |          0 |         97 |        519 |
| c:\Users\mawen\Dev\GitHub\Study\java\collection\priorityqueue-source-code.md                                                | Markdown         |         10 |          0 |          5 |         15 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\aqs.md                                                                      | Markdown         |        631 |          0 |        164 |        795 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\atomic-classes.md                                                           | Markdown         |        336 |          0 |        115 |        451 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\completablefuture-intro.md                                                  | Markdown         |        544 |          0 |        181 |        725 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\java-concurrent-collections.md                                              | Markdown         |         97 |          0 |         59 |        156 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\java-concurrent-questions-01.md                                             | Markdown         |        275 |          0 |        144 |        419 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\java-concurrent-questions-02.md                                             | Markdown         |        475 |          0 |        237 |        712 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\java-concurrent-questions-03.md                                             | Markdown         |        859 |          0 |        319 |      1,178 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\java-thread-pool-best-practices.md                                          | Markdown         |        201 |          0 |         97 |        298 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\java-thread-pool-summary.md                                                 | Markdown         |        617 |          0 |        212 |        829 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\jmm.md                                                                      | Markdown         |        145 |          0 |         96 |        241 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\optimistic-lock-and-pessimistic-lock.md                                     | Markdown         |        119 |          0 |         58 |        177 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\reentrantlock.md                                                            | Markdown         |        786 |          0 |        237 |      1,023 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\threadlocal.md                                                              | Markdown         |        650 |          0 |        265 |        915 |
| c:\Users\mawen\Dev\GitHub\Study\java\concurrent\virtual-thread.md                                                           | Markdown         |        184 |          0 |         53 |        237 |
| c:\Users\mawen\Dev\GitHub\Study\java\io\io-basis.md                                                                         | Markdown         |        411 |          0 |        138 |        549 |
| c:\Users\mawen\Dev\GitHub\Study\java\io\io-design-patterns.md                                                               | Markdown         |        246 |          0 |         76 |        322 |
| c:\Users\mawen\Dev\GitHub\Study\java\io\io-model.md                                                                         | Markdown         |         74 |          0 |         59 |        133 |
| c:\Users\mawen\Dev\GitHub\Study\java\io\nio-basis.md                                                                        | Markdown         |        279 |          0 |        114 |        393 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\class-file-structure.md                                                            | Markdown         |        147 |          0 |         70 |        217 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\class-loading-process.md                                                           | Markdown         |         89 |          0 |         58 |        147 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\classloader.md                                                                     | Markdown         |        246 |          0 |        105 |        351 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\jdk-monitoring-and-troubleshooting-tools.md                                        | Markdown         |        235 |          0 |         91 |        326 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\jvm-garbage-collection.md                                                          | Markdown         |        329 |          0 |        194 |        523 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\jvm-in-action.md                                                                   | Markdown         |         39 |          0 |         21 |         60 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\jvm-intro.md                                                                       | Markdown         |        331 |          0 |        203 |        534 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\jvm-parameters-intro.md                                                            | Markdown         |        165 |          0 |         71 |        236 |
| c:\Users\mawen\Dev\GitHub\Study\java\jvm\memory-area.md                                                                     | Markdown         |        226 |          0 |        153 |        379 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java10.md                                                                 | Markdown         |         78 |          0 |         42 |        120 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java11.md                                                                 | Markdown         |         92 |          0 |         40 |        132 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java12-13.md                                                              | Markdown         |        205 |          0 |         94 |        299 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java14-15.md                                                              | Markdown         |        170 |          0 |         74 |        244 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java16.md                                                                 | Markdown         |        101 |          0 |         52 |        153 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java17.md                                                                 | Markdown         |        126 |          0 |         51 |        177 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java18.md                                                                 | Markdown         |         98 |          0 |         44 |        142 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java19.md                                                                 | Markdown         |         86 |          0 |         34 |        120 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java20.md                                                                 | Markdown         |        222 |          0 |         92 |        314 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java21.md                                                                 | Markdown         |        254 |          0 |        129 |        383 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java8-common-new-features.md                                              | Markdown         |        818 |          0 |        239 |      1,057 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java8-tutorial-translate.md                                               | Markdown         |        647 |          0 |        253 |        900 |
| c:\Users\mawen\Dev\GitHub\Study\java\new-features\java9.md                                                                  | Markdown         |        178 |          0 |         84 |        262 |
| c:\Users\mawen\Dev\GitHub\Study\linux\Linux.md                                                                              | Markdown         |        497 |          0 |        226 |        723 |
| c:\Users\mawen\Dev\GitHub\Study\linux\Linux_Note.md                                                                         | Markdown         |        504 |          0 |        177 |        681 |
| c:\Users\mawen\Dev\GitHub\Study\linux\README.md                                                                             | Markdown         |         17 |          0 |          2 |         19 |
| c:\Users\mawen\Dev\GitHub\Study\linux\linux速查\Linux 命令行速查表-Cheet Sheet.md                                                   | Markdown         |        161 |          0 |         32 |        193 |
| c:\Users\mawen\Dev\GitHub\Study\linux\linux速查\linux命令大全-菜鸟.md                                                               | Markdown         |        108 |          0 |          6 |        114 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - Curl使用.md                                                               | Markdown         |        165 |          0 |         65 |        230 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - Linux 常用.md                                                             | Markdown         |         84 |          0 |         28 |        112 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - Linux创建自建服务.md                                                          | Markdown         |        204 |          0 |         44 |        248 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - Linux基础知识.md                                                            | Markdown         |        893 |          0 |        400 |      1,293 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - ab压力测试.md                                                               | Markdown         |        153 |          0 |         58 |        211 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - 内存分析工具pmap.md                                                           | Markdown         |        687 |          0 |         29 |        716 |
| c:\Users\mawen\Dev\GitHub\Study\linux\study\Linux - 零拷贝技术.md                                                                | Markdown         |        199 |          0 |        134 |        333 |
| c:\Users\mawen\Dev\GitHub\Study\linux\常见的linux面试问题.md                                                                       | Markdown         |         89 |          0 |         46 |        135 |
| c:\Users\mawen\Dev\GitHub\Study\mongodb\mongodb-questions-01.md                                                             | Markdown         |        221 |          0 |        123 |        344 |
| c:\Users\mawen\Dev\GitHub\Study\mongodb\mongodb-questions-02.md                                                             | Markdown         |        173 |          0 |        103 |        276 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\main.go                                                                   | Go               |          3 |        164 |         57 |        224 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_audience.go                         | Go               |         67 |          7 |         10 |         84 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_audience_include_relations.go       | Go               |         52 |          8 |          7 |         67 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_audience_isegmentation_relations.go | Go               |        286 |         52 |         22 |        360 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_copywriting.go                      | Go               |        147 |         43 |          7 |        197 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_country.go                          | Go               |         95 |          9 |          9 |        113 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_position.go                         | Go               |         77 |         10 |          6 |         93 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\ad_conf_scheme.go                           | Go               |         90 |         11 |         10 |        111 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\bean\bean_mongo.go                          | Go               |        186 |          7 |         16 |        209 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\bean\bean_mysql.go                          | Go               |        106 |          8 |          9 |        123 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\bean\flexible_spec_config.go                | Go               |         79 |          2 |          5 |         86 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\node\AdTextModel.js                         | JavaScript       |         33 |          1 |          4 |         38 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\node\CfgAppModel.js                         | JavaScript       |         40 |          5 |          2 |         47 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\node\CfgAudienceModel.js                    | JavaScript       |         58 |          5 |          2 |         65 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\node\CfgCountryModel.js                     | JavaScript       |         54 |          5 |          2 |         61 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\node\CfgFrameModel.js                       | JavaScript       |         61 |          5 |          2 |         68 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_conf_centre\node\CfgPositionModel.js                    | JavaScript       |         61 |          5 |          2 |         68 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\ad_material.go                                 | Go               |        155 |         24 |         11 |        190 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\ad_material_language_relations.go              | Go               |         40 |          8 |          7 |         55 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\ad_material_person_relations.go                | Go               |         77 |         15 |          9 |        101 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\ad_material_sync_success.go                    | Go               |         80 |         14 |         13 |        107 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\bean\bean_mongo.go                             | Go               |         71 |          3 |          7 |         81 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\bean\bean_mysql.go                             | Go               |        111 |          9 |         10 |        130 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\node\AssetCenterModel.js                       | JavaScript       |         58 |          1 |          6 |         65 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_material\url_replace.go                                 | Go               |         24 |          1 |          8 |         33 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\ad_fb_finish.go                                 | Go               |         84 |         19 |          7 |        110 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\adflow\AdFlowCfgModel.js                        | JavaScript       |         46 |          5 |          7 |         58 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\adflow\AdFlowModel.js                           | JavaScript       |         45 |          1 |          7 |         53 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\adflow\AdflowPreviewModel.js                    | JavaScript       |         51 |          5 |          2 |         58 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\adflow\JenkinsBuildInfoModel.js                 | JavaScript       |         30 |          1 |          5 |         36 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\bean\bean_mongo_adflow.go                       | Go               |        148 |          4 |          5 |        157 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\bean\bean_mongo_fb.go                           | Go               |        160 |         11 |         13 |        184 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\bean\bean_mysql.go                              | Go               |         98 |          7 |          8 |        113 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\fb\FBAdModel.js                                 | JavaScript       |         51 |          0 |          4 |         55 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\fb\FBAdPoolModel.js                             | JavaScript       |         66 |          0 |          6 |         72 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\fb\FBAdsetModel.js                              | JavaScript       |        175 |          7 |         12 |        194 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\fb\FBAudienceAccountModel.js                    | JavaScript       |         63 |          0 |          2 |         65 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\fb\FBCampaignModel.js                           | JavaScript       |         70 |          1 |          7 |         78 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\ad_preview\fb\FBCustomAudiencetModel.js                    | JavaScript       |         56 |          3 |          4 |         63 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\art_asset_1.go                                   | Go               |        121 |         20 |         14 |        155 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\art_asset_2.go                                   | Go               |         91 |         15 |         13 |        119 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\art_asset_tag_relations.go                       | Go               |         60 |         11 |          8 |         79 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\art_asset_tags.go                                | Go               |         37 |          9 |          5 |         51 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\art_need_asset_relations.go                      | Go               |         73 |         11 |          7 |         91 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\bean\bean_mongo.go                               | Go               |        115 |          7 |         11 |        133 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\bean\bean_mysql.go                               | Go               |        107 |         14 |         15 |        136 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\node\ActiveLibraryModel.js                       | JavaScript       |         53 |          0 |          7 |         60 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\node\ArtSourceModel.js                           | JavaScript       |         50 |          3 |          7 |         60 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\node\CategoryModel.js                            | JavaScript       |         49 |          0 |          6 |         55 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\node\CloudUrlModel.js                            | JavaScript       |         48 |          0 |          7 |         55 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\node\PlatUserModel.js                            | JavaScript       |         73 |          0 |          6 |         79 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_asset\node\TagModel.js                                 | JavaScript       |         41 |          5 |          6 |         52 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_attachments.go                                | Go               |         63 |         11 |          7 |         81 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_attachments2.go                               | Go               |         65 |         12 |          9 |         86 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_need_language_relations.go                    | Go               |         45 |          7 |          8 |         60 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_need_material_size_relations.go               | Go               |         70 |         11 |          7 |         88 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_need_person_relations.go                      | Go               |         52 |          8 |          7 |         67 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_need_relations.go                             | Go               |         37 |          6 |          7 |         50 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_need_tag_relations.go                         | Go               |         70 |         12 |          8 |         90 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_needs.go                                      | Go               |         92 |         19 |         11 |        122 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\art_tasks.go                                      | Go               |         57 |         16 |          9 |         82 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\base_desc_template.go                             | Go               |         34 |          8 |          8 |         50 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\bean_mongo.go                                     | Go               |        132 |          5 |         14 |        151 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\bean_mysql.go                                     | Go               |        144 |         16 |         17 |        177 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\supply_desc.go                                    | Go               |         44 |          8 |          7 |         59 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\art_need\url_replace.go                                    | Go               |         23 |          0 |          7 |         30 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\bi_data\bi_data.go                                         | Go               |         69 |         10 |         10 |         89 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\game.go                                                    | Go               |         64 |          3 |         13 |         80 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\remote-config\remote_config.go                             | Go               |        152 |         13 |         14 |        179 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\README.md                                      | Markdown         |         12 |          0 |          2 |         14 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\child_sdk.go                                   | Go               |         70 |          9 |          8 |         87 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\child_sdk_release_record.go                    | Go               |         62 |          7 |          8 |         77 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\jenkins_job.go                                 | Go               |         42 |          3 |          7 |         52 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\sdk_project.go                                 | Go               |         53 |          7 |          8 |         68 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\sdk_release_record.go                          | Go               |        193 |         14 |         12 |        219 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\sdk_release\version_number_to_version_ordinal.go           | Go               |         23 |          2 |          4 |         29 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\bean\bean_mongo.go                            | Go               |         35 |          2 |          4 |         41 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\bean\bean_mysql.go                            | Go               |         74 |          7 |          8 |         89 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\bean\const.go                                 | Go               |        221 |          0 |          3 |        224 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\node\DimPermissionModel.js                    | JavaScript       |         38 |          0 |          5 |         43 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\user_perm_police_resource_ad_app_game.go      | Go               |        153 |         33 |         16 |        202 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\user_perm_police_resource_bi.go               | Go               |         94 |         15 |         16 |        125 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\user_perm_police_resource_bi_app.go           | Go               |         75 |         13 |          8 |         96 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\user_console\user_perm_police_resource_bi_game.go          | Go               |         57 |         46 |          9 |        112 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\version-console\bean.go                                    | Go               |         78 |          8 |         11 |         97 |
